,season,seasonNumber,series,episode,challengeType,outcomeType,challengeDescription,shopTime,shopBudget,prepTime,cookTime,productPlacement,advantage,lastChanceKitchenWinnerEnters,restaurantWarWinner,restaurantWarEliminated,didJudgesVisitWinningTeamFirst
0,Kentucky,16.0,US,1.0,Quickfire,Team,"At Churchill Downs, the chefs, working in teams of three, were allotted two minutes to prep the ingredients for their dishes, in reference to the Kentucky Derby and its reputation as ""The Fastest Two Minutes in Sports."" After two minutes, the contestants' knives were confiscated. The teams then had 20 minutes to complete their dishes. Chefs were allowed to choose their own groups.",0.0,0.0,2.0,20.0,Churchill Downs,,,,,
1,Kentucky,16.0,US,1.0,Elimination,Team,"The chefs hosted a Kentucky Derby-themed party for 200 guests. Remaining in the same groups as the Quickfire Challenge, the contestants competed head-to-head against their own teammates. They had 2 and a half hours to cook, and then 45 minutes at the venue to prep. The chefs with the best dishes within their groups were eligible to win the challenge, while the worst ones were put up for elimination. ",30.0,350.0,45.0,150.0,,,,,,
2,Kentucky,16.0,US,2.0,Quickfire,Individual,"The chefs were given 30 minutes to create dishes inspired by Gail Simmons' pregnancy cravings. The prepped ingredients for the top two dishes were then delivered to Gail in New York, where she cooked the meals herself and determined the winner.",0.0,0.0,0.0,30.0,,Immunity,,,,
3,Kentucky,16.0,US,2.0,Elimination,Team,"The chefs visited the Maker's Mark distillery. After their tour, the contestants were separated in two teams and challenged to put their own spin on classic Kentucky cuisine. They drew knives to determine teams. Red team: Brian, Sara, Nini, David, Kevin, Adrienne, Michelle. Black team: Kelsey, Eric, Justin, Eddie, Brandon, Pablo, Natalie. Serving 48 guests.",30.0,1500.0,0.0,150.0,Maker's Mark,,,,,
4,Kentucky,16.0,US,3.0,Quickfire,Individual,"In a holiday-themed challenge, the chefs were given two minutes to shop in the pantry, placing their ingredients inside their assigned gift boxes. Once time expired, the contestants participated in a white elephant gift exchange, forcing them to conceptualize festive dishes using other people's ingredients. They drew knives to determine the order in which they pick the box.",2.0,0.0,0.0,30.0,,Immunity,,,,
5,Kentucky,16.0,US,3.0,Elimination,Individual,"The chefs enjoyed a feast in celebration of le Reveillon de Nool, a traditional French Christmas dinner. Afterwards, each chef was responsible for creating one of the thirteen desserts required to end the meal. ",0.0,0.0,0.0,120.0,,,,,,
6,Kentucky,16.0,US,4.0,Quickfire,Individual,"The chefs were tasked with creating an amuse-bouche. They were provided three options for plating, available on a first-come, first-served basis: a saucer, a ramekin, or a Chinese spoon. ",0.0,0.0,0.0,30.0,,Immunity,,,,
7,Kentucky,16.0,US,4.0,Elimination,Team,"Restaurant Wars. In a twist, the series' traditional Restaurant Wars challenge arrived early, instead of the halfway point in the competition. The contestants were also split into three teams, instead of two, based on the plating option they selected during the Quickfire Challenge. Per the usual rules, each team was responsible for transforming an empty space into a fully functioning pop-up restaurant. Two days to conceptualize, design and execute restaurant. Each must do three course meal with two options for each course for 100 guests.",60.0,3500.0,30.0,360.0,,,,,,
8,Kentucky,16.0,US,5.0,Elimination,Team,"Continuation of Restaurant Wars. In a twist, the series' traditional Restaurant Wars challenge arrived early, instead of the halfway point in the competition. The contestants were also split into three teams, instead of two, based on the plating option they selected during the Quickfire Challenge. Per the usual rules, each team was responsible for transforming an empty space into a fully functioning pop-up restaurant. Two days to conceptualize, design and execute restaurant. Each must do three course meal with two options for each course for 100 guests.",,,,,,,,Front of House,"Line Cook, Front of House",Winning team served judges first
9,Kentucky,16.0,US,6.0,Elimination,Individual,"The winner of Episode 6 of Last Chance Kitchen, Brother Luck, joined the competition. The chefs were then instructed to make canapes inspired by the flavors of Prohibition-era cocktails for a Roaring Twenties-style party, including the gin rickey, Southside Fizz, Old Fashioned, Last Word, whiskey sour, and Twelve-Mile Limit. As a reward for winning the Last Chance Kitchen team challenge, Adrienne, Brother, Brian, Eddie, Kelsey, and Sara were given first choice of cocktails.",30.0,400.0,180.0,60.0,Butchertown Grocery,,Brother L.,,,
10,Kentucky,16.0,US,7.0,Quickfire,Individual,"The chefs reimagined the Hot Brown; per the rules, their dishes had to include turkey, a sauce, and be plated in a skillet. ",0.0,0.0,0.0,30.0,,Immunity,,,,
11,Kentucky,16.0,US,7.0,Elimination,Individual,The chefs were asked to create dishes using different cuts of beef and locally-sourced Kentucky ingredients. Cuts were assigned to the contestants via random knife draw.  They had ten minutes to grab things from the Top Chef pantry.,30.0,100.0,0.0,120.0,,Choose team next elimination challenge,,,,
