,season,seasonNumber,series,episode,inCompetition,immune,chef,challengeType,outcome,rating
0,All Stars: New York,8.0,US,1.0,True,False,Angelo S.,Quickfire,LOW,
1,All Stars: New York,8.0,US,1.0,True,False,Antonia L.,Quickfire,WIN,
2,All Stars: New York,8.0,US,1.0,True,False,Carla H.,Quickfire,LOW,
3,All Stars: New York,8.0,US,1.0,True,False,Casey T.,Quickfire,HIGH,
4,All Stars: New York,8.0,US,1.0,True,False,Dale L.,Quickfire,HIGH,
5,All Stars: New York,8.0,US,1.0,True,False,Dale T.,Quickfire,WIN,
6,All Stars: New York,8.0,US,1.0,True,False,Elia A.,Quickfire,LOW,
7,All Stars: New York,8.0,US,1.0,True,False,Fabio V.,Quickfire,LOW,
8,All Stars: New York,8.0,US,1.0,True,False,Jamie L.,Quickfire,LOW,
9,All Stars: New York,8.0,US,1.0,True,False,Jennifer C.,Quickfire,HIGH,
10,All Stars: New York,8.0,US,1.0,True,False,Marcel V.,Quickfire,LOW,
11,All Stars: New York,8.0,US,1.0,True,False,Mike I.,Quickfire,HIGH,
12,All Stars: New York,8.0,US,1.0,True,False,Richard B.,Quickfire,WIN,
13,All Stars: New York,8.0,US,1.0,True,False,Spike M.,Quickfire,WIN,
14,All Stars: New York,8.0,US,1.0,True,False,Stephen A.,Quickfire,LOW,
15,All Stars: New York,8.0,US,1.0,True,False,Tiffani F.,Quickfire,LOW,
16,All Stars: New York,8.0,US,1.0,True,False,Tiffany D.,Quickfire,LOW,
17,All Stars: New York,8.0,US,1.0,True,False,Tre W.,Quickfire,HIGH,
18,All Stars: New York,8.0,US,1.0,True,False,Angelo S.,Elimination,WIN,
19,All Stars: New York,8.0,US,1.0,True,True,Antonia L.,Elimination,IN,
20,All Stars: New York,8.0,US,1.0,True,False,Carla H.,Elimination,IN,
21,All Stars: New York,8.0,US,1.0,True,False,Casey T.,Elimination,IN,
22,All Stars: New York,8.0,US,1.0,True,False,Dale L.,Elimination,IN,
23,All Stars: New York,8.0,US,1.0,True,True,Dale T.,Elimination,IN,
24,All Stars: New York,8.0,US,1.0,True,False,Elia A.,Elimination,OUT,
25,All Stars: New York,8.0,US,1.0,True,False,Fabio V.,Elimination,LOW,
26,All Stars: New York,8.0,US,1.0,True,False,Jamie L.,Elimination,HIGH,
27,All Stars: New York,8.0,US,1.0,True,False,Jennifer C.,Elimination,IN,
28,All Stars: New York,8.0,US,1.0,True,False,Marcel V.,Elimination,IN,
29,All Stars: New York,8.0,US,1.0,True,False,Mike I.,Elimination,IN,
30,All Stars: New York,8.0,US,1.0,True,True,Richard B.,Elimination,HIGH,
31,All Stars: New York,8.0,US,1.0,True,True,Spike M.,Elimination,HIGH,
32,All Stars: New York,8.0,US,1.0,True,False,Stephen A.,Elimination,LOW,
