,name,chef,hometown,city,state,age,season,seasonNumber,series,placement,personOfColor,occupation,gender,X14,occupation_category
0,Ross Larkin,Ross L.,,St. Johns,Newfoundland,31.0,Canada 6,6.0,Canada,1.0,,Chef de Cuisine,Male,,Chef de Cuisine
1,Mark Singson,Mark S.,,Vancouver,British Columbia,29.0,Canada 6,6.0,Canada,2.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
2,Jinhee Lee,Jinhee L.,,Calgary,Alberta,38.0,Canada 6,6.0,Canada,3.0,POC,Executive chef,Female,,
3,JP Miron,JP M.,,Montreal,Quebec,30.0,Canada 6,6.0,Canada,3.0,,Chef de Cuisine,Male,,Chef de Cuisine
4,Nathan Guggeheimer,Nathan G.,,Saskatoon,Saskatchewan,35.0,Canada 6,6.0,Canada,5.0,,Chef/Partner,Male,,Executive Chef and Owner/Partner/Founder
5,Darren Rogers,Darren R.,,Montreal,Quebec,27.0,Canada 6,6.0,Canada,6.0,,Chef de Cuisine,Male,,Chef de Cuisine
6,Jesse Zuber,Jesse Z.,,Saskatoon,Saskatchewan,29.0,Canada 6,6.0,Canada,7.0,,Chef/Partner,Male,,Executive Chef and Owner/Partner/Founder
7,Matt Sullivan,Matt S.,,Toronto,Ontario,34.0,Canada 6,6.0,Canada,7.0,,Executive chef,Male,,
8,Elia Herrera,Elia H.,,Toronto,Ontario,37.0,Canada 6,6.0,Canada,9.0,POC,Executive chef,Female,,
9,Ivana Raca,Ivana R.,,Toronto,Ontario,33.0,Canada 6,6.0,Canada,10.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
10,Felix Zhou,Felix Z.,,Coquitlam,British Columbia,29.0,Canada 6,6.0,Canada,11.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
11,Harold Dieterle,Harold D.,,New York,New York,28.0,San Francisco,1.0,US,1.0,,Restaurant chef,Male,,
12,Tiffani Faison,Tiffani F.,,Las Vegas,Nevada,28.0,San Francisco,1.0,US,2.0,,Restaurant chef,Female,,
13,Dave Martin,Dave M.,,Long Beach,California,40.0,San Francisco,1.0,US,3.0,,Restaurant chef,Male,,
14,Lee Anne Wong,Lee Anne W.,,New York,New York,28.0,San Francisco,1.0,US,4.0,POC,Executive chef,Female,,
15,Stephen Asprinio,Stephen A.,,Las Vegas,Nevada,24.0,San Francisco,1.0,US,5.0,,Sommelier,Male,,
16,Miguel Morales,Miguel M.,,New York,New York,27.0,San Francisco,1.0,US,6.0,,Hotel chef,Male,,
17,Andrea Beaman,Andrea B.,,New York,New York,37.0,San Francisco,1.0,US,7.0,,Natural nutritionist,Female,,
18,Lisa Parks,Lisa P.,,Los Angeles,California,45.0,San Francisco,1.0,US,8.0,POC,Cooking teacher,Female,,
19,Candice Kumai,Candice K.,,Pasadena,California,23.0,San Francisco,1.0,US,9.0,POC,Culinary student,Female,,
20,Brian Hill,Brian H.,,Los Angeles,California,37.0,San Francisco,1.0,US,10.0,POC,Personal chef/caterer,Male,,
21,Cynthia Sestito,Cynthia S.,,East Hampton,New York,52.0,San Francisco,1.0,US,11.0,,Personal chef/caterer,Female,,
22,Ken Lee,Ken L.,"Dublin, Ireland",Los Angeles,California,34.0,San Francisco,1.0,US,12.0,,Restaurant chef,Male,,
23,Ilan Hall,Ilan H.,,New York,New York,24.0,Los Angeles,2.0,US,1.0,,Line cook,Male,,
24,Marcel Vigneron,Marcel V.,,Las Vegas,Nevada,26.0,Los Angeles,2.0,US,2.0,,Master cook,Male,,
25,Elia Aboumrad,Elia A.,,Las Vegas,Nevada,23.0,Los Angeles,2.0,US,3.0,POC,Room service chef,Female,,
26,Sam Talbot,Sam T.,,New York,New York,28.0,Los Angeles,2.0,US,3.0,,Executive consulting chef,Male,,
27,Cliff Crooks,Cliff C.,,West Caldwell,New Jersey,28.0,Los Angeles,2.0,US,5.0,POC,Executive chef,Male,,
28,Michael Midgley,Michael M.,,Lodi,California,28.0,Los Angeles,2.0,US,6.0,,Line cook,Male,,
29,Betty Fraser,Betty F.,,Los Angeles,California,44.0,Los Angeles,2.0,US,7.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
30,Mia Gaines-Alt,Mia G.-A.,,Oakdale,California,32.0,Los Angeles,2.0,US,8.0,POC,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
31,Frank Terzoli,Frank T.,,San Diego,California,39.0,Los Angeles,2.0,US,9.0,,Executive chef,Male,,
32,Carlos Fernandez,Carlos F.,,Fort Lauderdale,Florida,36.0,Los Angeles,2.0,US,10.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
33,Josie Smith-Malave,Josie S.-M.,,Brooklyn,New York,31.0,Los Angeles,2.0,US,11.0,POC,Sous chef,Female,,
34,Marisa Churchill,Marisa C.,,San Francisco,California,28.0,Los Angeles,2.0,US,11.0,POC,Executive pastry chef,Female,,
35,Emily Sprissler,Emily S.,,Las Vegas,Nevada,30.0,Los Angeles,2.0,US,13.0,,Master cook,Female,,
36,Otto Borsich,Otto B.,,Las Vegas,Nevada,46.0,Los Angeles,2.0,US,14.0,,Instructor,Male,,
37,Suyai Steinhauer,Suyai S.,,New York,New York,29.0,Los Angeles,2.0,US,15.0,,Chef/Owner,Female,,Executive Chef and Owner/Partner/Founder
38,Hung Huynh,Hung H.,"Pittsfield, Massachusetts",Las Vegas,Nevada,29.0,Miami,3.0,US,1.0,POC,Executive sous chef,Male,,
39,Casey Thompson,Casey T.,"Cedar Hill, Texas",Dallas,Texas,29.0,Miami,3.0,US,2.0,,Executive chef,Female,,
40,Dale Levitski,Dale L.,"Chicago, Illinois",Chicago,Illinois,33.0,Miami,3.0,US,2.0,,Chef/Consultant,Male,,Chef
41,Brian Malarkey,Brian M.,"Bend, Oregon",San Diego,California,34.0,Miami,3.0,US,4.0,,Executive chef,Male,,
42,Sara Mair,Sara M.,"Kingston, Jamaica",Miami,Florida,33.0,Miami,3.0,US,5.0,POC,Chef/cheese maker,Female,,
43,Chris Jacobson,CJ J.,"El Toro, California",Venice,California,31.0,Miami,3.0,US,6.0,,Private chef,Male,,
