,season,seasonNumber,series,overallEpisodeNumber,episode,episodeName,airDate,nCompetitors
0,Canada 6,6.0,Canada,60.0,1.0,The Next Wave,2018-04-08,11.0
1,Canada 6,6.0,Canada,61.0,2.0,The Chicken or the Immunity,2018-04-15,10.0
2,Canada 6,6.0,Canada,62.0,3.0,Que Rico,2018-04-22,9.0
3,Canada 6,6.0,Canada,63.0,4.0,Restaurant Wars,2018-04-29,8.0
4,Canada 6,6.0,Canada,64.0,5.0,Double Overtime,2018-05-06,8.0
5,Canada 6,6.0,Canada,65.0,6.0,That's a Lot of Dough,2018-05-13,6.0
6,Canada 6,6.0,Canada,66.0,7.0,Wine of the Tiger,2018-05-20,5.0
7,Canada 6,6.0,Canada,67.0,8.0,Finale Four Ways,2018-05-27,4.0
8,San Francisco,1.0,US,1.0,1.0,Who Deserves to Be Here?,2006-03-08,12.0
9,San Francisco,1.0,US,2.0,2.0,Food of Love,2006-03-15,11.0
10,San Francisco,1.0,US,3.0,3.0,Nasty Delights,2006-03-22,11.0
11,San Francisco,1.0,US,4.0,4.0,Food on the Fly,2006-03-29,9.0
12,San Francisco,1.0,US,5.0,5.0,Blind Confusion,2006-04-05,8.0
13,San Francisco,1.0,US,6.0,6.0,Guess Who's Coming to Dinner,2006-04-12,7.0
14,San Francisco,1.0,US,7.0,7.0,Restaurant Wars,2006-04-19,6.0
15,San Francisco,1.0,US,8.0,8.0,Wedding Bell Blues,2006-04-26,5.0
16,San Francisco,1.0,US,9.0,9.0,Napa's Finest,2006-05-03,4.0
17,San Francisco,1.0,US,10.0,10.0,Reunion,2006-05-10,12.0
18,San Francisco,1.0,US,11.0,11.0,Vegas Finale - Part 1,2006-05-17,3.0
19,San Francisco,1.0,US,12.0,12.0,Vegas Finale - Part 2,2006-05-24,2.0
20,Los Angeles,2.0,US,13.0,1.0,Into the Fire,2006-10-18,15.0
21,Los Angeles,2.0,US,14.0,2.0,Eastern Promise,2006-10-25,14.0
22,Los Angeles,2.0,US,15.0,3.0,Food for the People,2006-11-01,13.0
23,Los Angeles,2.0,US,16.0,4.0,Less is More,2006-11-08,12.0
24,Los Angeles,2.0,US,17.0,5.0,Social Service,2006-11-15,12.0
25,Los Angeles,2.0,US,18.0,6.0,Thanksgiving,2006-11-22,10.0
26,Los Angeles,2.0,US,19.0,7.0,The Raw and the Cooked,2006-12-06,9.0
27,Los Angeles,2.0,US,20.0,8.0,Holiday Spirit,2006-12-13,8.0
28,Los Angeles,2.0,US,21.0,9.0,Seven,2007-01-03,7.0
29,Los Angeles,2.0,US,22.0,10.0,Unhappy Customers (Restaurant Wars),2007-01-10,6.0
30,Los Angeles,2.0,US,23.0,11.0,Sense and Sensuality,2007-01-17,5.0
31,Los Angeles,2.0,US,24.0,12.0,"Hawaii Finale, Part 1",2007-01-24,4.0
32,Los Angeles,2.0,US,25.0,13.0,"Hawaii Finale, Part 2",2007-01-31,2.0
33,Miami,3.0,US,26.0,17.0,4-Star All-Stars,2007-06-06,8.0
34,Miami,3.0,US,27.0,1.0,First Impressions,2007-06-13,14.0
35,Miami,3.0,US,28.0,2.0,Sunny Delights,2007-06-20,14.0
36,Miami,3.0,US,29.0,3.0,Family Favorites,2007-06-27,13.0
37,Miami,3.0,US,30.0,4.0,Cooking By Numbers,2007-07-11,12.0
38,Miami,3.0,US,31.0,5.0,Latin Lunch,2007-07-18,11.0
39,Miami,3.0,US,32.0,16.0,Watch What Happens Special,2007-07-25,12.0
40,Miami,3.0,US,33.0,6.0,Freezer Burn,2007-08-01,10.0
41,Miami,3.0,US,34.0,7.0,Guilty Pleasures,2007-08-08,9.0
42,Miami,3.0,US,35.0,8.0,Restaurant Wars,2007-08-15,8.0
43,Miami,3.0,US,36.0,9.0,Second Helping,2007-08-22,8.0
44,Miami,3.0,US,37.0,10.0,Chef Overboard,2007-09-05,7.0
45,Miami,3.0,US,38.0,11.0,Snacks on a Plane,2007-09-12,6.0
46,Miami,3.0,US,39.0,12.0,Manhattan Project,2007-09-19,5.0
47,Miami,3.0,US,40.0,13.0,"Finale, Part 1",2007-09-26,4.0
48,Miami,3.0,US,41.0,14.0,"Finale, Part 2",2007-10-03,3.0
49,Miami,3.0,US,42.0,15.0,Reunion,2007-10-10,14.0
50,Miami,3.0,US,43.0,18.0,Top Chef Holiday Special,2007-12-06,14.0
51,Chicago,4.0,US,44.0,1.0,"Anything You Can Cook, I Can Cook Better",2008-03-12,16.0
52,Chicago,4.0,US,45.0,2.0,Zoo Food,2008-03-19,15.0
53,Chicago,4.0,US,46.0,3.0,Block Party,2008-03-26,14.0
54,Chicago,4.0,US,47.0,4.0,Film Food,2008-04-02,13.0
55,Chicago,4.0,US,48.0,5.0,The Elements,2008-04-09,12.0
56,Chicago,4.0,US,49.0,6.0,Tailgating,2008-04-16,11.0
57,Chicago,4.0,US,50.0,7.0,Improv,2008-04-23,10.0
58,Chicago,4.0,US,51.0,8.0,Common Threads,2008-04-30,9.0
59,Chicago,4.0,US,52.0,9.0,Wedding Wars,2008-05-07,8.0
60,Chicago,4.0,US,53.0,10.0,Serve and Protect,2008-05-14,7.0
61,Chicago,4.0,US,54.0,11.0,Restaurant Wars,2008-05-21,6.0
62,Chicago,4.0,US,55.0,12.0,High Steaks,2008-05-28,5.0
63,Chicago,4.0,US,56.0,13.0,Puerto Rico,2008-06-04,4.0
64,Chicago,4.0,US,57.0,14.0,Finale,2008-06-11,3.0
65,New York,5.0,US,59.0,1.0,Melting Pot,2008-11-12,17.0
66,New York,5.0,US,60.0,2.0,Show Your Craft,2008-11-19,15.0
67,New York,5.0,US,61.0,3.0,A Foo Fighters Thanksgiving,2008-11-26,14.0
68,New York,5.0,US,62.0,4.0,Today Show,2008-12-03,13.0
69,New York,5.0,US,63.0,5.0,Gail's Bridal Shower,2008-12-10,12.0
70,New York,5.0,US,64.0,6.0,12 Days of Christmas,2008-12-17,11.0
71,New York,5.0,US,65.0,7.0,Focus Group,2009-01-07,11.0
72,New York,5.0,US,66.0,8.0,Down on the Farm,2009-01-14,9.0
73,New York,5.0,US,67.0,9.0,Restaurant Wars,2009-01-21,8.0
74,New York,5.0,US,68.0,10.0,Super Bowl Chef Showdown,2009-01-28,7.0
75,New York,5.0,US,69.0,11.0,Le Bernardin,2009-02-04,6.0
76,New York,5.0,US,70.0,12.0,The Last Supper,2009-02-11,5.0
77,New York,5.0,US,71.0,13.0,Finale - Part I,2009-02-18,5.0
