,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,gender,personOfColor,competedOnTC,otherShows
0,Canada 6,6.0,Canada,2.0,Quickfire,Individual,Danny Bowien,male,,,
1,Canada 6,6.0,Canada,2.0,Elimination,Individual,Lynn Crawford,female,,,Top Chef Masters Season 5
2,Canada 6,6.0,Canada,3.0,Quickfire,Individual,Peter Meehan,male,,,
3,Canada 6,6.0,Canada,3.0,Elimination,Individual,Carlos Gaytan,male,POC,Yes,
4,Canada 6,6.0,Canada,4.0,Quickfire,Individual,Mark McEwan,male,,,
5,Canada 6,6.0,Canada,4.0,Quickfire,Individual,Rob Gentile,male,,,
6,Canada 6,6.0,Canada,4.0,Elimination,Team,Ruth Reichl,female,,,Top Chef Masters Season 3 Judge
7,Canada 6,6.0,Canada,5.0,Quickfire,Individual,Brandon Olsen,male,,,
8,Canada 6,6.0,Canada,5.0,Elimination,Team,Alexandra Feswick,female,,,
9,Canada 6,6.0,Canada,6.0,Quickfire,Individual,Nicole Gomes,female,POC,Top Chef Season 20,Top Chef Canada
10,Canada 6,6.0,Canada,6.0,Elimination,Individual,Evan Funke,male,,,
11,Canada 6,6.0,Canada,7.0,Quickfire,Individual,Amanda Cohen,female,,,
12,Canada 6,6.0,Canada,7.0,Elimination,Individual,Dustin Gallagher,male,,,
13,San Francisco,1.0,US,1.0,Quickfire,Individual,Hubert Keller,male,,,Top Chef Masters Runner-Up (Season 1)
14,San Francisco,1.0,US,1.0,Quickfire,Individual,Tom Colicchio,male,,,
15,San Francisco,1.0,US,1.0,Elimination,Individual,Hubert Keller,male,,,Top Chef Masters Runner-Up (Season 1)
16,San Francisco,1.0,US,2.0,Quickfire,Individual,Elizabeth Falkner,female,,,"Top Chef Masters Season 1, Tournament of Champions"
17,San Francisco,1.0,US,2.0,Elimination,Individual,Elizabeth Falkner,female,,,"Top Chef Masters Season 1, Tournament of Champions"
18,San Francisco,1.0,US,2.0,Elimination,Individual,Madame S.,female,,,
19,San Francisco,1.0,US,3.0,Quickfire,Individual,Laurent Manrique,male,,,
20,San Francisco,1.0,US,3.0,Elimination,Team,Boys & Girls Club,-,,,
21,San Francisco,1.0,US,3.0,Elimination,Team,Laurent Manrique,male,,,
22,San Francisco,1.0,US,4.0,Quickfire,Individual,Jefferson Hill,male,,,
23,San Francisco,1.0,US,4.0,Elimination,Individual,Jefferson Hill,male,,,
24,San Francisco,1.0,US,4.0,Elimination,Individual,Junior League of Oakland-East Bay,-,,,
