,season,seasonNumber,series,episode,challengeType,outcomeType,rewardType,reward,chef
0,All Stars: New York,8.0,US,1.0,Elimination,Individual,Money,10000.0,Angelo S.
1,All Stars: New York,8.0,US,3.0,Quickfire,Team,Money,5000.0,Richard B.
2,All Stars: New York,8.0,US,3.0,Quickfire,Team,Money,5000.0,Spike M.
3,All Stars: New York,8.0,US,3.0,Quickfire,Team,Money,5000.0,Stephen A.
4,All Stars: New York,8.0,US,3.0,Quickfire,Team,Money,5000.0,Tre W.
5,All Stars: New York,8.0,US,3.0,Elimination,Team,Prize,Trip to New Zealand,Dale T.
6,All Stars: New York,8.0,US,4.0,Quickfire,Individual,Money,20000.0,Tre W.
7,All Stars: New York,8.0,US,4.0,Elimination,Team,Prize,Trip to Italy,Carla H.
8,All Stars: New York,8.0,US,5.0,Quickfire,Individual,Prize,Toyota Prius,Mike I.
9,All Stars: New York,8.0,US,6.0,Elimination,Team,Prize,Trip to Amsterdam,Carla H.
10,All Stars: New York,8.0,US,7.0,Elimination,Team,Money,10000.0,Richard B.
11,All Stars: New York,8.0,US,9.0,Quickfire,Individual,Prize,Trip to Napa,Dale T.
12,All Stars: New York,8.0,US,9.0,Elimination,Individual,Prize,Trip to Tokyo and gets to be on Fallon,Carla H.
13,All Stars: New York,8.0,US,10.0,Quickfire,Individual,Money,5000.0,Dale T.
14,All Stars: New York,8.0,US,10.0,Elimination,Individual,Money,25000.0,Dale T.
15,All Stars: New York,8.0,US,11.0,Quickfire,Individual,Money,5000.0,Mike I.
16,All Stars: New York,8.0,US,11.0,Elimination,Individual,Prize,Trip to Barbados,Richard B.
17,All Stars: New York,8.0,US,12.0,Elimination,Individual,Prize,Toyota Highlander,Antonia L.
18,All Stars: New York,8.0,US,13.0,Quickfire,Individual,Money,10000.0,Mike I.
19,All Stars: New York,8.0,US,13.0,Quickfire,Individual,Money,10000.0,Richard B.
20,All Stars: New York,8.0,US,13.0,Quickfire,Individual,Money,10000.0,Tiffany D.
21,All Stars: New York,8.0,US,14.0,Quickfire,Team,Money,2500.0,Antonia L.
22,All Stars: New York,8.0,US,14.0,Quickfire,Team,Money,2500.0,Tiffany D.
23,All Stars: New York,8.0,US,15.0,Quickfire,Individual,Money,5000.0,Mike I.
24,All-Stars L.A.,17.0,US,5.0,Quickfire,Individual,Money,10000.0,Kevin G.
25,All-Stars L.A.,17.0,US,6.0,Quickfire,Individual,Money,5000.0,Gregory G.
26,All-Stars L.A.,17.0,US,8.0,Elimination,Team,Money,10000.0,Brian M.
27,All-Stars L.A.,17.0,US,8.0,Elimination,Team,Money,10000.0,Gregory G.
28,All-Stars L.A.,17.0,US,8.0,Elimination,Team,Money,10000.0,Lee Anne W.
29,All-Stars L.A.,17.0,US,8.0,Elimination,Team,Money,10000.0,Stephanie C.
30,All-Stars L.A.,17.0,US,9.0,Quickfire,Individual,Money,10000.0,Lee Anne W.
31,All-Stars L.A.,17.0,US,10.0,Elimination,Individual,Prize,Two tickets to the Olympics,Stephanie C.
32,All-Stars L.A.,17.0,US,12.0,Quickfire,Individual,Money,10000.0,Kevin G.
33,Boston,12.0,US,2.0,Quickfire,Individual,Money,5000.0,James R.
34,Boston,12.0,US,5.0,Quickfire,Individual,Money,10000.0,Gregory G.
35,Boston,12.0,US,10.0,Quickfire,Individual,Money,5000.0,Melissa K.
36,Boston,12.0,US,12.0,Quickfire,Individual,Prize,Trip to Napa,Mei L.
37,Boston,12.0,US,12.0,Elimination,Individual,Money,10000.0,Melissa K.
38,Canada 6,6.0,Canada,1.0,Quickfire,Individual,Money,3000.0,Mark S.
39,Canada 6,6.0,Canada,3.0,Quickfire,Individual,Money,5000.0,Matt S.
40,Canada 6,6.0,Canada,3.0,Elimination,Individual,Prize,"$5,000 all inclusive trip for two to Mexico",JP M.
41,Canada 6,6.0,Canada,4.0,Elimination,Team,Money,10000.0,Matt S.
42,Canada 6,6.0,Canada,5.0,Quickfire,Individual,Money,5000.0,Matt S.
43,Charleston,14.0,US,9.0,Quickfire,Individual,Prize,14 cases of Terlato wine,Brooke W.
44,Charleston,14.0,US,11.0,Quickfire,Individual,Money,10000.0,Sheldon S.
45,Charleston,14.0,US,11.0,Quickfire,Individual,Money & prize,"$10,000 and Sous Vide machine",Sheldon S.
46,Charleston,14.0,US,12.0,Quickfire,Individual,Money,10000.0,Brooke W.
47,Charleston,14.0,US,12.0,Elimination,Individual,Prize,"$7,500 bottle of Tequila",Brooke W.
48,Charleston,14.0,US,13.0,Quickfire,Individual,Prize,Win a 7-day trip to Secrets Resort & Spa,Brooke W.
